__run_id,__done,adaptation_strategy,highest_received_signal,transmission_power,packet_loss,total_energy_consumption
run_0_repetition_0,DONE,Q-Learning,-52.68641907779952,13.03921568627451,22.01%,529.94mJ
run_1_repetition_0,DONE,Signal-Based,-50.16281708109526,14.96078431372549,24.53%,913.18mJ
run_0_repetition_1,DONE,Q-Learning,-50.541504349561166,14.96078431372549,22.63%,810.52mJ
run_1_repetition_1,DONE,Signal-Based,-51.33502340906689,14.96078431372549,20.64%,767.38mJ
run_0_repetition_2,DONE,Q-Learning,-50.73606895734595,14.96078431372549,21.22%,787.64mJ
run_1_repetition_2,DONE,Signal-Based,-50.83140757161269,14.96078431372549,22.44%,836.08mJ
run_0_repetition_3,DONE,Q-Learning,-50.132866048434714,14.96078431372549,20.33%,764.15mJ
run_1_repetition_3,DONE,Signal-Based,-50.628092911145046,14.96078431372549,20.73%,785.59mJ
run_0_repetition_4,DONE,Q-Learning,-51.707484441558336,13.03921568627451,21.78%,531.05mJ
run_1_repetition_4,DONE,Signal-Based,-50.42373664115324,14.96078431372549,19.05%,720.85mJ
run_0_repetition_5,DONE,Q-Learning,-51.157707873757985,14,20.45%,618.65mJ
run_1_repetition_5,DONE,Signal-Based,-50.77275909534253,14.96078431372549,20.57%,757.02mJ
run_0_repetition_6,DONE,Q-Learning,-52.395064503203464,14,19.42%,565.88mJ
run_1_repetition_6,DONE,Signal-Based,-50.60366953947149,14.96078431372549,23.17%,827.19mJ
run_0_repetition_7,DONE,Q-Learning,-50.82797335357279,14,19.99%,611.93mJ
run_1_repetition_7,DONE,Signal-Based,-50.19397665280739,14.96078431372549,21.67%,823.12mJ
run_0_repetition_8,DONE,Q-Learning,-50.753610911413425,14.96078431372549,23.79%,907.23mJ
run_1_repetition_8,DONE,Signal-Based,-50.220671500396044,14.96078431372549,22.77%,854.63mJ
run_0_repetition_9,DONE,Q-Learning,-50.753610911413425,14.96078431372549,23.79%,907.23mJ
run_1_repetition_9,DONE,Signal-Based,-50.56898394908462,14.96078431372549,21.17%,776.40mJ
run_0_repetition_10,DONE,Q-Learning,-49.84910461328397,14.96078431372549,23.89%,872.42mJ
run_1_repetition_10,DONE,Signal-Based,-50.02314094103356,14.96078431372549,15.32%,570.82mJ
run_0_repetition_11,DONE,Q-Learning,-52.2004859023827,14,21.86%,664.05mJ
run_1_repetition_11,DONE,Signal-Based,-50.806613547470306,14.96078431372549,14.21%,482.65mJ
run_0_repetition_12,DONE,Q-Learning,-51.71148493366764,14,23.56%,692.66mJ
run_1_repetition_12,DONE,Signal-Based,-50.4289507456766,14.96078431372549,18.19%,667.34mJ
run_0_repetition_13,DONE,Q-Learning,-50.23331745846192,14.96078431372549,23.61%,867.92mJ
run_1_repetition_13,DONE,Signal-Based,-51.24863146166345,14.96078431372549,24.85%,909.10mJ
run_0_repetition_14,DONE,Q-Learning,-51.39317118228485,14,20.67%,620.10mJ
run_1_repetition_14,DONE,Signal-Based,-50.922090820423946,14.96078431372549,25.13%,911.72mJ
run_0_repetition_15,DONE,Q-Learning,-52.124124373321656,13.03921568627451,22.31%,544.91mJ
run_1_repetition_15,DONE,Signal-Based,-51.16534517199456,14.96078431372549,24.19%,899.23mJ
run_0_repetition_16,DONE,Q-Learning,-51.01766089015859,14,18.99%,566.48mJ
run_1_repetition_16,DONE,Signal-Based,-50.915264774177395,14.96078431372549,24.54%,899.81mJ
run_0_repetition_17,DONE,Q-Learning,-50.36928630850635,14.96078431372549,22.17%,814.62mJ
run_1_repetition_17,DONE,Signal-Based,-50.8630662992397,14.96078431372549,24.89%,898.79mJ
run_0_repetition_18,DONE,Q-Learning,-49.918432067273805,14.96078431372549,17.09%,629.42mJ
run_1_repetition_18,DONE,Signal-Based,-50.81213538545247,14.96078431372549,21.97%,835.15mJ
run_0_repetition_19,DONE,Q-Learning,-53.09868553514268,13.03921568627451,18.98%,475.82mJ
run_1_repetition_19,DONE,Signal-Based,-50.49965042595344,14.96078431372549,24.30%,884.43mJ
run_0_repetition_20,DONE,Q-Learning,-49.82527926092769,14.96078431372549,17.34%,621.26mJ
run_1_repetition_20,DONE,Signal-Based,-50.39412634785563,14.96078431372549,24.53%,910.07mJ
run_0_repetition_21,DONE,Q-Learning,-49.93278903284981,14.96078431372549,21.56%,802.78mJ
run_1_repetition_21,DONE,Signal-Based,-50.034485286421216,14.96078431372549,24.52%,904.37mJ
run_0_repetition_22,DONE,Q-Learning,-51.564968777343026,14,21.85%,651.89mJ
run_1_repetition_22,DONE,Signal-Based,-51.28564808039387,14.96078431372549,24.05%,903.82mJ
run_0_repetition_23,DONE,Q-Learning,-50.70139590362149,14.96078431372549,21.04%,792.23mJ
run_1_repetition_23,DONE,Signal-Based,-50.065321532104356,14.96078431372549,22.60%,844.37mJ
run_0_repetition_24,DONE,Q-Learning,-50.65374410722886,14.96078431372549,21.36%,783.31mJ
run_1_repetition_24,DONE,Signal-Based,-50.79435553670609,14.96078431372549,23.64%,857.56mJ
run_0_repetition_25,DONE,Q-Learning,-51.298212368967505,14,24.16%,704.64mJ
run_1_repetition_25,DONE,Signal-Based,-50.93932404237354,14.96078431372549,24.96%,904.59mJ
run_0_repetition_26,DONE,Q-Learning,-51.3192232015024,14,23.04%,688.54mJ
run_1_repetition_26,DONE,Signal-Based,-50.94387320926214,14.96078431372549,24.81%,912.21mJ
run_0_repetition_27,DONE,Q-Learning,--52.683910449771766,14,23.73%,714.43mJ
run_1_repetition_27,DONE,Signal-Based,-49.999443676253584,14.96078431372549,24.07%,885.40mJ
run_0_repetition_28,DONE,Q-Learning,-50.26104648845673,14.96078431372549,24.31%,918.22mJ
run_1_repetition_28,DONE,Signal-Based,-51.064330245109915,14.96078431372549,24.01%,917.09mJ
run_0_repetition_29,DONE,Q-Learning,-49.71993513440504,14.96078431372549,22.23%,845.35mJ
run_1_repetition_29,DONE,Signal-Based,-50.581242261128004,14.96078431372549,23.71%,905.17mJ
